crl.tot;dollar;bang;money;n000;make;yesno
108;0;0;0;0;0;TRUE
260;0;0.7;0;0;0;TRUE
944;0.024;0.567;0;0;0;TRUE
172;0;0.518;0.57;0;0;TRUE
566;0;0.31;0.52;0;0.52;TRUE
574;0.013;0.095;0.08;0.34;0.17;TRUE
172;0;0.892;0;0;0;TRUE
130;0;1.443;0;0;0;TRUE
49;0;0.889;0;0.78;0;TRUE
85;0;0.968;0;1.02;0;TRUE
11;0;0;0;0;0;TRUE
152;0.145;0.944;0.44;0;0.44;TRUE
326;0;0.583;0;0;0;TRUE
85;0;0.969;0;1.02;0;TRUE
694;0.258;0.258;0.34;0.34;0.34;TRUE
537;0.259;0.259;0.34;0.34;0.34;TRUE
179;0;0.835;0.43;0;0.43;TRUE
153;0.144;1.083;0.44;0;0.44;TRUE
68;0;0.118;0;0;0;TRUE
7;0;1.754;0;0;0;TRUE
303;0.14;0.032;0.23;0.23;0;TRUE
66;0;0;0;0;0;TRUE
240;0.186;0.28;0.53;0.53;2.12;TRUE
96;0;0.135;0;0;0;TRUE
51;0;0;0;0.56;0;TRUE
164;0.069;0.83;1.32;0;0;TRUE
101;0;1.192;0;0;0;TRUE
979;0.046;0.585;0;0;0;TRUE
574;0.013;0.095;0.08;0.34;0.17;TRUE
63;0.147;0.294;0;0;0;TRUE
181;0.252;1.18;0;1.62;0.54;TRUE
574;0.013;0.108;0.08;0.34;0.17;TRUE
180;0.253;1.183;0;1.61;0.53;TRUE
91;0;0.067;0;0;0.51;TRUE
212;0.321;1.045;0;0;0;TRUE
255;0.184;0.985;0;0.38;0;TRUE
256;0.186;0.869;0;0.39;0;TRUE
144;0;0.915;1.29;0;0.43;TRUE
363;0.112;0.187;0;1.6;0.45;TRUE
137;0;0.615;0;0;0;TRUE
121;0;0.893;0;0;0;TRUE
165;0.068;0.816;1.31;0;0;TRUE
81;0;0.353;0;0;0;TRUE
1733;0.15;0.563;0.44;0.44;0.22;TRUE
537;0.223;0.287;0.34;0.34;0.34;TRUE
61;0;0;0;0;0;TRUE
233;1.417;0.202;0;0;0;TRUE
180;0.253;1.182;0;1.62;0.54;TRUE
57;0;0.08;0;0;0;TRUE
94;0.165;0.165;0;0;0;TRUE
965;0.022;0;0.02;0.37;0.07;TRUE
965;0.022;0;0.02;0.37;0.07;TRUE
1329;0.185;0.212;0.08;0.89;0.17;TRUE
242;0.267;0.468;0;0.96;0;TRUE
102;0.816;0.081;0;1.38;0.46;TRUE
91;0.061;0.366;0.34;0.34;1.03;TRUE
841;0.063;0.633;0.54;0;0;TRUE
476;0.021;0.779;0.39;0.13;0.26;TRUE
143;0.157;0;0.32;0;0;TRUE
143;0.159;0;0.32;0;0;TRUE
305;0.032;0.258;0.19;0;0.19;TRUE
354;0.112;0.188;0;1.61;0.46;TRUE
95;0;1.094;0;0;0;TRUE
156;0.171;0;0;0;0;TRUE
1087;0.752;0.884;0;0;0;TRUE
145;0;0.683;0;0;0;TRUE
955;0.08;0.773;0;0;0.16;TRUE
88;0;0;0;0;0;TRUE
519;0.278;1.113;0.84;0;0.84;TRUE
32;0;0;0;0;0;TRUE
32;0;0;0;0;0;TRUE
1140;0.013;0.088;0.08;0.34;0.17;TRUE
377;0;0.471;0;0;0;TRUE
294;0.082;0;0;0;0;TRUE
75;0;1.806;0;0;0;TRUE
617;0.193;0.129;0.22;0.22;0;TRUE
385;0;0.479;0;0;0;TRUE
39;0;0.814;0;1.12;0;TRUE
139;0.158;0;0.32;0;0;TRUE
214;0;0.937;0;0;0;TRUE
385;0;0.479;0;0;0;TRUE
62;0.437;0.145;0;0;0;TRUE
255;0.263;0.461;0;0.95;0;TRUE
1128;0.707;0.862;0;0;0;TRUE
130;0;0;0;0;0;TRUE
157;0.829;2.766;0;0;0;TRUE
1561;0.097;0.39;0.16;0.08;0.08;TRUE
966;0.305;0.75;0.69;0.06;0.48;TRUE
966;0.305;0.75;0.69;0.06;0.48;TRUE
54;0;2.453;0;0;0;TRUE
217;0;0.931;0;0;0;TRUE
125;0.347;1.62;0;0.8;0.8;TRUE
202;0.162;0;0.33;0;0;TRUE
802;0.159;0.159;0.14;0;0.07;TRUE
202;0.161;0;0.33;0;0;TRUE
1128;0.707;0.862;0;0;0;TRUE
155;0;0.043;0;0.31;0;TRUE
963;0.083;0.665;0;0;0;TRUE
114;0.135;0.271;0;0;0;TRUE
400;0.127;0.204;0.44;0;0.14;TRUE
91;0;0.784;0;0;0;TRUE
129;0.203;0.203;0.25;0;0;TRUE
75;0.09;0.09;0;0;0.58;TRUE
400;0.127;0.204;0.44;0;0.14;TRUE
400;0.127;0.204;0.44;0;0.14;TRUE
86;0;0.829;0;0;0;TRUE
210;0.124;0.041;0;0;0.25;TRUE
66;0;0;0;0;0;TRUE
373;0;0.487;0;0;0;TRUE
417;0.057;0.085;0;0.35;0;TRUE
256;0.267;0.401;0;0.95;0;TRUE
373;0;0.487;0;0;0;TRUE
942;0;0.315;0;0;0;TRUE
373;0;0.487;0;0;0;TRUE
163;0.18;0.54;0;0;0;TRUE
1200;0.784;0.764;0;0;0;TRUE
869;0.03;0.632;0;0;0;TRUE
513;0.129;1.453;0.6;0.2;0.4;TRUE
87;0;0.531;0;0;0;TRUE
1128;0.753;0.732;0;0;0;TRUE
131;0;0.867;0;0;0;TRUE
117;0;1.117;0;0;0;TRUE
442;0.167;0.01;0.06;0.84;0.18;TRUE
817;0.065;0.785;0.2;0;0.1;TRUE
347;0.21;0.841;0;0;0;TRUE
599;0.057;1.158;0.35;0;0.17;TRUE
1456;0.103;0.348;0.17;0.08;0.08;TRUE
285;0.036;0.841;0.23;0;0;TRUE
240;0.032;0;0;0;0;TRUE
266;0.263;0.702;0.52;1.58;0;TRUE
139;0.157;0;0.32;0;0;TRUE
129;0.318;0.715;0;0.54;0.54;TRUE
36;0.253;0.759;0;0;1.63;TRUE
244;0.107;0.242;0.18;0;0;TRUE
213;0;0.411;0;0;0.35;TRUE
68;0;0;0;0;0.34;TRUE
239;0.107;0.295;0.18;0;0;TRUE
119;0.459;0.551;0;0.64;0.64;TRUE
139;0.159;0;0.32;0;0;TRUE
119;0.369;0.554;0;0.64;0.64;TRUE
191;0.07;0.07;0;0.18;0;TRUE
87;0;0.532;0;0;0;TRUE
56;0;0.309;0;0;0;TRUE
116;0;0.129;0;0;0;TRUE
114;0;1.133;0;0;0;TRUE
264;0;0.718;0;0;0;TRUE
1116;0.663;0.906;0;0;0;TRUE
442;0.167;0.01;0.06;0.85;0.18;TRUE
389;0.094;0.322;0;0.11;0;TRUE
19;0;1.284;0;0;0;TRUE
87;0.269;0.672;0;0;0;TRUE
53;0.199;0;1.31;0;0;TRUE
251;0.107;0.268;0.18;0;0;TRUE
244;0.107;0.241;0.18;0;0;TRUE
139;0.157;0;0.32;0;0;TRUE
217;0;0.511;0;0;0;TRUE
349;0;1.152;0;0;0;TRUE
19;0;0;0;0;0;TRUE
217;0;0.511;0;0;0;TRUE
19;0;0;0;0;0;TRUE
967;0.681;0.754;0;0;0;TRUE
33;0.137;0.275;1;1;0;TRUE
107;0.175;0.351;0;0;0;TRUE
1030;0.67;0.693;0;0;0;TRUE
127;0;1.434;0;0;0;TRUE
54;0.201;0;1.31;0;0;TRUE
72;0.23;0.23;0;0;0;TRUE
77;0;0.217;0;0;0;TRUE
211;0.209;0.209;0.76;0.25;0.25;TRUE
356;0.181;0.604;0;0.36;0;TRUE
122;0.37;0.462;0;0.64;0.64;TRUE
65;0.062;0.31;0;0;0;TRUE
72;0.23;0.23;0;0;0;TRUE
38;0;0;0;0;0;TRUE
139;0.159;0;0.32;0;0;TRUE
55;0.198;0;1.29;0;0;TRUE
72;0.23;0.23;0;0;0;TRUE
118;0.3;0.501;0;0.63;0.63;TRUE
122;0.463;0.834;0;0.65;0.65;TRUE
2043;1.121;0;0;0;0.19;TRUE
65;0.062;0.31;0;0;0;TRUE
1254;0.038;0.406;0;0;0.08;TRUE
122;0.37;0.462;0;0.64;0.64;TRUE
65;0.062;0.31;0;0;0;TRUE
356;0.181;0.604;0;0.36;0;TRUE
51;0;0;0;0;0;TRUE
72;0.23;0.23;0;0;0;TRUE
139;0.158;0;0.32;0;0;TRUE
441;0.167;0.01;0.06;0.85;0.18;TRUE
54;0.201;0;1.31;0;0;TRUE
161;0.127;0.063;0;0.45;0;TRUE
21;0;0;0;0;0;TRUE
19;0;0;0;0;0;TRUE
3271;0.017;0.107;0;0;0;TRUE
2;0;5;0;0;0;TRUE
81;0;2.443;0;0;0.48;TRUE
543;0.036;1.018;0;0;0;TRUE
139;0.158;0;0.32;0;0;TRUE
6;0;0;0;0;0;TRUE
543;0.036;1.018;0;0;0;TRUE
89;0;0.11;0;0;0;TRUE
660;0.259;0.102;0.05;0.23;0.05;TRUE
139;0.157;0;0.32;0;0;TRUE
132;0.11;0.332;0;0;0;TRUE
3271;0.017;0.107;0;0;0;TRUE
139;0.114;0.802;0;0;0;TRUE
2205;0.338;0.831;0.4;0;0.2;TRUE
178;0.103;0.517;0;0;0;TRUE
61;0;0.108;0;0;0;TRUE
136;0;0.153;0;0;0;TRUE
2218;0.479;0.319;0.46;0.46;0.35;TRUE
183;0;0.397;0;0;0;TRUE
31;0;0;0;0;0;TRUE
53;0.199;0;1.31;0;0;TRUE
479;0.202;0.101;0.96;0.72;0.6;TRUE
37;0;0;0;0.44;0;TRUE
1402;0.114;0.42;0.08;0.85;0.08;TRUE
120;0;0.663;0;0;0;TRUE
1315;0.745;0.826;0;0;0;TRUE
444;0.169;0.01;0.06;0.85;0.18;TRUE
451;0.169;0.01;0.06;0.85;0.18;TRUE
1059;0.236;0.429;0.76;0.44;0.76;TRUE
1277;0.109;0.369;0.17;0.08;0.08;TRUE
1834;0.101;0.356;0.08;1.1;0.08;TRUE
95;0;0.163;0;0;0;TRUE
19;0;0;0;0;0;TRUE
72;0.42;0.105;0;1.78;0;TRUE
74;0.304;0.101;0.6;0;0.6;TRUE
1070;0.235;0.428;0.76;0.44;0.76;TRUE
78;0.326;0.163;0;0;0;TRUE
141;0;0.537;0;0;0;TRUE
189;0;0.286;0.67;0;0;TRUE
655;0.134;0.23;0.46;0.46;0.11;TRUE
115;0;0;0;0;0;TRUE
13;0;0.616;0;0;0;TRUE
94;0.061;0.367;0.35;0.35;1.05;TRUE
75;0;0.524;0;0;0;TRUE
113;0;0;0;0;0.29;TRUE
105;0;0.52;0;0;0;TRUE
1278;0.109;0.369;0.17;0.08;0.08;TRUE
102;0.082;0.165;0.58;0;0;TRUE
3550;0.019;0.034;0;0;0.1;TRUE
301;0.683;2.636;0;0;0;TRUE
153;0;0.354;0;0;0.25;TRUE
1407;0.114;0.394;0.08;0.85;0.08;TRUE
1234;0;0.34;0;0;0;TRUE
320;0.216;0.577;0;0.43;0;TRUE
368;0.153;0.153;0.44;0;0.14;TRUE
1222;0.08;0.269;0;0.14;0;TRUE
121;0.273;0.456;0;0.62;0.62;TRUE
621;0.054;1.118;0.33;0;0.16;TRUE
1229;0.072;0.241;0;0.14;0;TRUE
1216;0.076;0.255;0;0.15;0;TRUE
2333;0.51;0.443;0.54;0.51;0.51;TRUE
228;0.519;1.143;0;0;0;TRUE
389;0.193;0.367;0.22;0;0.33;TRUE
225;0.165;0.497;0;0;0;TRUE
52;0;3.571;0;0;0;TRUE
3210;0.847;0.382;0.51;1.03;0.49;TRUE
389;0.193;0.367;0.22;0;0.33;TRUE
34;0;0.7;0;0;0;TRUE
35;0;0.146;0;0;0;TRUE
353;0;0.801;0;0;0;TRUE
126;0;0;0;0;0;TRUE
249;0.412;0.412;0;0.76;0;TRUE
21;0;0.277;0;0;0;TRUE
249;0.412;0.412;0;0.76;0;TRUE
261;0;1.257;0;0;0;TRUE
9;0;0;0;0;0;TRUE
483;0.222;0.101;0.96;0.72;0.6;TRUE
229;0;0.935;0;0;0;TRUE
389;0.094;0.056;0;0;0;TRUE
36;0;1.007;0;0;0;TRUE
38;0.21;0.421;3.61;0;0;TRUE
72;0.38;0.19;0;1.07;0;TRUE
23;0;1.336;0;0;0;TRUE
2541;0.133;0.334;0.99;1.39;0.59;TRUE
41;3.125;0;0;0;0;TRUE
144;0;0;0;0;0.27;TRUE
278;0;0.777;0;0;0;TRUE
1078;0;0.369;0;0;0;TRUE
389;0.196;0.373;0.22;0;0.33;TRUE
254;0.041;0.041;0;0;0.12;TRUE
254;0.041;0.041;0;0;0.12;TRUE
421;0.046;0.89;0.31;0;0.31;TRUE
100;0.177;0.8;0.51;0;0;TRUE
80;0.336;0.084;0;1.44;0;TRUE
2;0;0;0;0;0;TRUE
144;0;0;0;0;0;TRUE
229;0.171;0.057;0;0.35;0;TRUE
91;0.251;0.251;0;0;0;TRUE
84;0.186;0.186;0;0;0;TRUE
493;0;0.187;0;0;0;TRUE
477;0;0.203;0;0;0;TRUE
94;0;0.176;0;0;0;TRUE
180;0;1.385;0;0;0;TRUE
36;0;0;0;0;0;TRUE
72;0.389;0;0;1.08;0;TRUE
59;0;0.486;0;0;0;TRUE
1016;3.305;0.141;1.47;0.31;0.21;TRUE
189;0.04;0;0;0.23;0;TRUE
1171;0.085;0.341;0.36;0;0.09;TRUE
23;0;0.546;0;0;0;TRUE
15;0;2.631;0;0;0;TRUE
15;0;5.844;0;0;0;TRUE
23;0;1.081;0;0;0;TRUE
105;0;0.574;0;0;0;TRUE
65;0;0.536;0;0;0;TRUE
157;0.156;0;0.32;0;0;TRUE
79;0.383;0.191;0;1.08;0;TRUE
24;0;3.448;0;0;0;TRUE
79;0.383;0.191;0;1.08;0;TRUE
910;0.053;0;0;0.05;0;TRUE
58;0;0.291;0;0;0;TRUE
301;0.065;0.816;0.2;0;0;TRUE
2;0;4.347;0;0;0;TRUE
329;0.065;0.016;0;0.75;0.1;TRUE
595;0.225;0.902;0.49;0;0.65;TRUE
1458;0.151;0.318;0.19;0.39;0.09;TRUE
26;0;0.396;0;0;0;TRUE
1428;0.156;0.297;0.2;0.4;0.1;TRUE
289;0;1.096;0;0;0;TRUE
1407;0.114;0.394;0.08;0.85;0.08;TRUE
287;0.173;0.26;0;2.05;0.25;TRUE
41;0.171;0.171;0;2.1;0;TRUE
1890;0.162;0.518;0.1;0.51;0;TRUE
1428;0.156;0.297;0.2;0.4;0.1;TRUE
474;0;0.19;0;0;0;TRUE
702;0.264;0.611;1.04;0.1;0;TRUE
61;0.634;0.422;0;0;0;TRUE
26;0;0;0;0;0;TRUE
92;0.111;0.111;0.62;0;0;TRUE
1460;0.338;0.492;0.29;0.47;0.23;TRUE
2340;0.509;0.478;0.58;0.51;0.51;TRUE
33;0;0;0;0;0;TRUE
82;0.408;0.408;0;1.12;0;TRUE
165;0.761;0.084;0;3.38;0;TRUE
1410;0.114;0.394;0.08;0.85;0.08;TRUE
381;0;0.264;0;0;0;TRUE
140;0.233;0.233;0;1.42;0;TRUE
279;0.173;0.13;0;0.31;0;TRUE
1045;0.151;1.06;0.26;0.53;0.4;TRUE
364;0.129;0.843;0;0;0;TRUE
71;0.367;0.919;0;1.85;0;TRUE
1991;0.493;0.507;0.53;0.45;0.32;TRUE
117;0.151;0;0.87;0;0;TRUE
131;0.466;0.093;0;1.59;0;TRUE
3116;0.069;0.556;0.7;0.61;0.35;TRUE
660;1.961;0.387;1.36;0.68;0.51;TRUE
43;0;0.311;0;0;0.53;TRUE
1280;0.101;0.101;0.06;0.06;0.26;TRUE
61;0.626;0.208;0;0;0;TRUE
120;0;0.291;0;1.05;0;TRUE
110;0;0.057;0;0;0.31;TRUE
63;0.111;1.116;0;0;0;TRUE
64;0.11;1.103;0;0;0;TRUE
259;4.017;0.378;0;0.62;0;TRUE
1509;0.191;0.42;0.11;0.59;0;TRUE
535;0.031;0.249;0.09;0.36;0.09;TRUE
137;0.41;0.082;0;1.41;0;TRUE
368;0.128;0.153;0.44;0;0.14;TRUE
151;0;0.125;0;0;0;TRUE
368;0.128;0.153;0.44;0;0.14;TRUE
2220;0.5;0.456;0.6;0.37;0.5;TRUE
490;0.223;0.382;0;0.61;0;TRUE
116;0.74;0.211;0;2.85;0.57;TRUE
114;0.763;0.109;0;2.95;0.59;TRUE
261;0.121;0.121;0.4;0.6;0;TRUE
113;0.216;0.185;0;0.19;0.19;TRUE
60;0.632;0.21;0;0;0;TRUE
62;0.61;0.203;0;0;0;TRUE
381;0.065;0.016;0;0.74;0;TRUE
64;0;0.537;0.9;0;0.9;TRUE
25;0.17;0;0;0;0;TRUE
555;0;0.153;0;0;0;TRUE
126;0.5;0.142;0;0.46;0;TRUE
250;0.118;0.094;0.42;0.14;0.28;TRUE
46;0;0;0;0;0;TRUE
108;0.353;0.088;0.55;0;0;TRUE
2;0;0;12.5;0;0;TRUE
151;0;0.121;0;0;0;TRUE
21;0;0;1.47;0;0;TRUE
339;0;0.324;0.26;0;0.26;TRUE
59;0.048;0;0;0;0.33;TRUE
118;0;0.11;0;0;0;TRUE
565;0.132;1.689;0.61;0.2;0.41;TRUE
18;0;0.774;0;0;0;TRUE
32;0;0.111;0;0;0;TRUE
2426;0.505;0.439;0.54;0.5;0.5;TRUE
386;0.042;1.289;0.84;0.28;0.56;TRUE
441;0.113;0.213;0.66;0;0.33;TRUE
328;0;0.215;0.34;0;0;TRUE
981;0.299;1.082;1.03;0.12;0.64;TRUE
222;0.092;0;0.78;0;0;TRUE
549;0;0.616;0;0;0;TRUE
96;0.232;0.232;0.68;0.68;0;TRUE
149;0.156;0;0.32;0;0;TRUE
158;0;0.368;0;0;0;TRUE
134;0;0.225;0;0;0;TRUE
134;0;0.223;0;0;0;TRUE
44;0;0;0;0;2.43;TRUE
62;0;0;0;0;0;TRUE
400;0;0;0;0;0;TRUE
2771;0.535;0.363;0.52;0.63;0.52;TRUE
94;0;0.649;0;0;0;TRUE
81;0.189;0.189;0;0;0;TRUE
92;0;0.699;0;0;0;TRUE
231;0.034;0.375;0;0;0.5;TRUE
83;0.176;0.176;0.51;0;1.03;TRUE
632;0.308;0.745;1.38;0;1.18;TRUE
632;0.31;0.749;1.38;0;1.18;TRUE
632;0.306;0.741;1.38;0;1.18;TRUE
62;0;0;0;0;0;TRUE
85;0.338;0;0;0;0;TRUE
757;0.177;1.316;0.55;0.13;0.13;TRUE
2761;0.023;0.095;0;0.46;0;TRUE
542;0.03;0.242;0.09;0.36;0.09;TRUE
726;0.182;1.294;0.55;0.13;0.13;TRUE
632;0.31;0.749;1.38;0;1.18;TRUE
1319;0;0;0;0;0;TRUE
94;0;0.125;0;0;0;TRUE
178;0.108;0.072;0.47;0;0;TRUE
48;0;0.277;0;0;2.32;TRUE
36;0;0;0;0;0;TRUE
53;0;0.334;0;0;0;TRUE
385;0.134;0.574;0.22;0.11;0.45;TRUE
124;0;1.255;0;0;0;TRUE
302;0.12;0.034;0;0.55;0;TRUE
309;0;0.274;0;0;0;TRUE
1592;0.236;0.388;1.14;1.82;0.68;TRUE
30;0;0;0;0;0;TRUE
111;0.17;0.085;0;0;0;TRUE
74;0;3.333;0;0;0;TRUE
62;0;0.546;0.9;0;0.9;TRUE
3269;0.626;0.322;0.35;1.09;0.49;TRUE
75;0.183;0.612;0.79;1.18;0.39;TRUE
58;0;0.192;0;0;0;TRUE
621;0.055;1.718;0.34;0;0.17;TRUE
358;0.403;0.359;0.25;0.77;0.51;TRUE
150;0.107;0.321;0;0.62;0;TRUE
87;0;0;0;0;0;TRUE
125;0;0.519;0;0.84;0;TRUE
72;0;0.132;0.71;0;0;TRUE
528;0.03;0.246;0.09;0.36;0.09;TRUE
666;0.132;0.265;0.45;0.45;0.11;TRUE
133;0.361;0.433;0;2.2;0.44;TRUE
1351;0.152;0.474;0.1;0.6;0.1;TRUE
666;0.132;0.265;0.45;0.45;0.11;TRUE
2184;0.585;0.438;0.46;0.38;0.42;TRUE
114;0.07;2.115;0;0.45;0;TRUE
391;0.176;0.392;0.22;0;0.33;TRUE
30;0;0;0;0;0;TRUE
69;0.109;1.096;0;0;0;TRUE
53;0;0.218;0;2.24;0;TRUE
261;0;0.125;0;1.36;0;TRUE
54;0;0.218;0;0;0;TRUE
36;0;0;0;0;0;TRUE
870;0.224;0.404;0.29;0.09;0.19;TRUE
50;0;0.113;0;0;0;TRUE
365;0.247;0.19;0.49;0.39;0.79;TRUE
270;0.309;0.206;0;0;0;TRUE
106;0;0;0;0;0;TRUE
177;0.888;0.414;0;1.47;0;TRUE
134;0;0.77;0;0;0;TRUE
1043;0.384;0.928;0.3;0;0.1;TRUE
13;0;0;0;0;0;TRUE
2184;0.528;0.452;0.63;0.38;0.52;TRUE
35;0;0;0;0;0;TRUE
956;0.027;0.167;0;0;0;TRUE
