id;gender;education;age;ACT;SATV;SATQ
236;female;5;35;24;650;500
237;female;3;22;22;550;490
238;male;3;21;22;580;640
239;female;3;22;27;570;570
240;male;4;28;27;600;680
241;female;1;19;35;750;720
242;male;4;28;16;500;500
243;male;0;17;28;670;660
244;female;5;22;25;600;600
245;female;3;19;23;570;570
246;male;3;18;25;625;650
247;female;0;17;28;550;550
248;female;3;23;35;200;200
249;female;3;21;28;640;690
250;female;3;20;24;600;460
251;female;3;28;27;445;525
252;female;3;22;30;650;675
253;female;3;19;34;750;700
254;male;3;30;35;600;700
255;male;1;18;33;780;650
256;female;1;18;19;500;500
257;female;5;30;25;590;570
258;female;2;43;35;600;600
259;female;3;23;26;430;430
260;female;3;20;24;620;540
261;female;4;50;20;600;300
262;female;4;40;30;500;500
263;male;4;26;32;700;700
264;male;3;26;30;690;760
265;male;0;17;29;700;770
266;female;5;31;28;500;600
267;female;3;20;23;650;500
268;female;3;31;36;700;500
269;male;2;55;25;550;700
270;female;3;19;29;690;700
271;female;3;19;20;475;475
272;female;3;25;32;600;400
273;female;3;30;24;640;750
274;female;2;19;30;600;600
275;male;1;18;33;780;650
276;female;3;22;21;600;480
277;female;3;23;20;330;520
278;male;2;25;32;740;720
279;male;2;22;30;300;300
280;male;3;20;31;560;780
281;male;3;20;25;660;520
282;male;1;18;18;300;400
283;female;1;18;25;540;550
284;female;3;21;26;450;450
285;female;4;25;29;660;680
286;male;4;26;33;660;800
287;male;3;20;31;750;725
288;male;4;34;25;430;540
289;female;4;22;27;720;690
290;female;3;20;36;760;730
291;female;4;24;32;680;640
292;female;5;35;32;640;700
293;female;2;34;26;680;540
294;female;4;24;23;500;540
295;female;5;36;34;600;610
296;male;4;27;27;640;640
297;female;3;21;30;710;650
298;female;4;45;30;750;420
299;male;4;57;28;550;600
300;female;3;19;25;500;500
301;male;3;19;20;480;480
302;female;2;26;26;600;640
303;female;3;18;33;800;770
304;female;5;25;23;480;450
305;female;3;20;33;750;740
306;male;5;36;25;500;510
307;female;3;19;27;700;650
308;male;5;37;26;530;600
309;female;0;16;28;700;700
310;female;0;16;28;600;700
311;male;0;16;35;700;750
312;male;4;30;21;500;450
313;female;2;24;28;720;450
314;female;5;40;29;600;600
315;female;5;27;32;790;750
316;female;4;41;30;650;650
317;female;1;17;18;440;300
318;female;3;19;32;700;700
319;male;3;21;32;670;750
320;female;1;18;27;680;540
321;male;3;19;17;300;300
322;female;4;24;28;600;600
323;female;3;18;21;490;480
324;female;3;20;30;650;650
325;female;4;44;25;640;420
326;female;3;20;32;720;730
327;female;0;17;35;720;790
328;male;5;26;32;740;620
329;female;3;18;16;430;350
330;female;3;25;27;500;500
331;female;1;18;27;700;650
332;female;3;21;20;300;300
333;male;2;19;31;680;700
334;male;5;44;30;550;660
335;male;0;16;24;540;540
336;female;0;17;26;590;520
337;male;4;34;19;590;742
338;female;5;37;24;500;400
339;female;3;21;27;580;500
340;male;5;39;35;600;800
341;female;3;19;27;600;570
342;female;3;22;32;700;690
343;female;1;37;26;412;680
344;female;3;19;25;650;500
345;female;3;18;29;670;640
346;female;5;44;36;480;700
347;male;0;14;30;600;600
348;male;4;52;25;700;650
349;female;3;21;22;530;520
350;female;3;20;27;540;540
351;female;3;20;23;657;609
352;male;3;18;34;700;800
353;female;5;28;31;730;690
354;male;0;17;33;700;780
355;female;3;20;31;780;640
356;female;2;25;26;500;580
357;female;2;57;35;650;750
358;male;3;29;33;590;770
359;female;3;21;29;620;680
360;female;4;26;28;800;500
361;female;3;23;27;400;450
362;female;5;24;31;670;680
363;female;3;19;31;630;600
364;female;3;19;32;640;660
365;female;3;20;22;560;450
366;female;1;17;35;350;230
367;female;3;19;25;530;570
368;male;3;20;25;560;580
369;female;3;18;23;550;600
370;female;3;22;26;450;500
371;female;3;20;27;590;530
372;female;3;20;34;730;710
373;male;5;24;30;500;500
374;female;3;21;32;690;730
375;female;5;38;26;600;450
376;male;3;20;25;570;550
377;female;5;28;29;410;760
378;male;3;20;22;600;450
379;male;3;22;28;700;740
380;male;3;17;35;740;770
381;female;4;22;24;690;690
382;female;4;31;27;400;540
383;female;3;21;32;790;650
384;female;3;27;17;300;300
385;female;3;19;18;420;440
386;male;3;19;20;510;420
387;female;5;50;35;700;640
388;female;4;22;32;750;690
389;male;4;25;24;600;400
390;male;2;33;32;700;710
391;female;5;29;29;650;500
392;female;0;17;28;600;650
393;male;5;31;27;475;475
394;female;1;17;27;610;730
395;female;5;37;20;500;490
396;female;3;18;22;520;630
397;female;3;32;33;650;635
398;female;5;25;30;670;550
399;male;3;20;34;770;780
400;female;4;48;28;600;450
401;female;4;49;32;600;600
402;female;3;22;30;450;350
403;female;2;28;23;540;520
404;female;5;33;34;760;670
405;female;4;22;26;700;450
406;female;5;29;32;600;500
407;male;3;25;22;550;550
408;female;3;17;29;550;620
409;female;2;18;23;450;550
410;female;3;19;35;700;600
411;male;5;30;32;660;740
412;female;3;19;31;650;620
413;male;1;18;27;740;670
414;male;3;19;29;730;560
415;male;1;18;33;720;710
416;female;3;20;35;600;700
417;female;2;19;21;400;480
418;female;0;16;24;800;800
419;female;5;28;29;410;760
420;female;3;22;30;650;650
421;female;3;19;30;550;550
422;female;4;29;32;600;720
423;female;3;19;28;650;650
424;female;3;18;28;700;700
425;female;3;21;25;580;660
426;female;3;18;28;700;700
427;male;5;55;33;730;710
428;female;3;19;32;500;650
429;male;2;20;20;400;400
430;female;3;19;21;500;420
431;female;3;19;28;600;770
432;female;3;19;35;500;600
433;male;2;19;26;690;490
434;male;2;22;3;200;400
435;female;3;20;21;510;510
436;male;3;20;21;450;550
437;female;5;34;32;640;480
438;female;3;18;31;610;670
439;male;3;25;27;620;500
440;female;3;33;35;760;750
441;male;5;43;32;730;780
442;male;2;25;24;620;670
443;female;5;34;34;640;640
444;male;2;20;32;710;710
445;female;3;18;31;800;750
446;male;3;19;36;600;650
447;female;3;20;23;600;300
448;female;2;19;28;650;700
449;male;3;19;35;730;720
450;female;3;18;22;540;600
451;female;3;20;26;600;600
452;male;3;19;29;620;590
453;female;5;36;29;650;650
454;female;3;19;21;600;500
455;male;4;24;31;750;650
456;female;3;19;36;530;680
457;male;2;20;25;400;400
458;female;5;27;27;600;480
459;male;3;20;17;480;400
460;female;2;27;32;750;750
461;male;3;19;32;500;700
462;male;3;19;22;540;590
463;female;1;18;26;689;654
464;female;4;21;30;630;630
465;female;3;44;25;600;600
466;female;3;44;25;600;600
467;female;3;19;34;500;600
468;male;3;22;24;410;680
469;male;2;25;20;450;450
470;male;5;22;32;650;620
471;female;2;28;25;610;590
472;female;0;18;21;550;440
473;female;0;17;22;350;450
474;male;0;17;35;797;720
475;female;3;20;20;470;470
476;female;3;20;23;500;600
477;male;1;18;23;500;700
478;female;5;24;29;690;640
479;female;3;19;21;500;500
480;male;0;17;28;420;530
481;male;1;18;35;750;640
482;female;1;18;34;799;799
483;male;0;17;36;800;800
484;male;1;23;15;600;600
485;male;3;18;34;700;800
486;female;5;23;28;600;600
487;female;0;18;24;510;550
488;female;0;18;23;570;600
489;female;0;17;22;350;450
490;female;5;27;32;790;750
491;female;0;18;21;490;560
492;female;1;18;26;620;590
493;female;0;18;15;470;500
494;female;4;25;32;630;730
495;female;1;18;28;550;600
496;female;1;17;28;560;430
497;male;0;18;25;480;480
498;male;3;20;30;300;400
499;female;0;18;28;700;500
500;male;0;18;20;400;400
501;female;0;17;22;444;333
502;male;0;16;20;450;450
503;female;0;17;18;460;460
504;male;0;15;32;650;450
505;male;5;42;35;750;700
506;male;2;31;30;640;750
507;male;1;18;25;500;765
508;female;0;17;21;500;500
509;female;5;25;24;560;610
510;female;3;18;16;500;450
511;male;3;19;30;450;450
512;female;5;38;28;700;500
513;female;4;34;34;600;600
514;male;5;28;35;600;600
515;male;4;26;34;600;600
516;male;2;19;27;550;670
517;female;3;19;31;760;620
518;male;3;19;27;680;660
519;female;5;56;34;730;700
520;female;3;20;31;770;600
521;female;3;20;27;580;620
522;male;3;20;27;630;680
523;male;0;16;36;765;677
524;female;3;20;30;650;640
525;male;1;17;15;600;596
526;female;5;43;23;620;660
527;female;3;20;26;530;530
528;female;0;17;35;710;710
529;female;5;27;33;660;780
530;female;4;22;34;710;710
531;female;5;41;35;660;650
532;female;3;19;27;620;590
533;male;5;24;31;680;680
534;male;3;22;33;800;700
535;female;4;22;29;750;600
536;female;3;23;21;650;500
537;female;4;31;19;419;420
538;female;1;18;25;410;410
539;male;1;18;30;600;650
540;female;3;19;21;500;550
541;female;3;20;23;550;440
542;female;3;20;32;720;600
543;female;3;23;21;650;500
544;male;2;20;25;500;300
545;female;5;23;27;580;530
546;female;4;25;29;530;600
547;female;2;24;20;400;400
548;male;5;27;32;720;730
549;male;4;37;28;600;610
550;female;1;31;32;600;600
551;male;2;18;32;680;720
552;male;5;42;35;760;780
553;male;1;18;18;420;490
554;male;0;18;32;700;700
555;female;3;19;31;730;680
556;male;3;20;20;400;400
557;female;3;18;32;750;800
558;female;3;18;33;680;740
559;female;1;18;34;700;760
560;female;3;19;31;650;720
561;female;3;18;30;690;720
562;male;3;19;34;700;770
563;female;3;19;32;720;670
564;female;3;19;28;690;620
565;male;3;18;34;800;720
566;female;3;19;31;670;730
567;female;3;18;29;740;690
568;female;3;19;34;760;720
569;female;5;22;32;650;710
570;male;3;19;31;640;700
571;male;3;20;32;700;680
572;male;3;18;27;600;600
573;male;3;19;33;710;740
574;male;3;19;30;700;640
575;male;3;18;27;670;670
576;female;2;19;31;770;800
577;female;3;21;33;740;740
578;female;3;19;31;660;660
579;male;3;19;33;780;800
580;female;3;20;30;600;400
581;female;3;18;32;770;640
582;female;3;20;31;700;710
583;female;3;18;33;700;680
584;female;3;19;35;800;680
585;male;3;19;32;700;700
586;female;3;18;32;770;640
587;male;3;18;33;670;690
588;female;4;22;36;650;720
589;female;3;18;26;670;510
590;female;3;18;34;720;690
591;female;3;19;36;730;770
592;female;3;19;31;760;640
593;female;3;46;30;600;500
594;female;4;22;24;560;590
595;male;4;29;34;630;640
596;female;3;20;34;700;670
597;female;5;23;29;650;650
598;female;3;46;30;600;600
599;female;3;20;31;730;660
600;female;4;22;31;660;670
601;female;3;38;26;580;500
602;female;3;19;32;730;690
603;female;5;61;30;300;350
604;female;1;18;28;710;600
605;female;1;21;32;580;650
606;male;5;34;32;700;750
607;female;3;24;25;300;300
608;female;0;13;32;785;795
609;female;4;34;36;600;700
610;female;4;36;25;600;600
611;female;4;26;29;580;690
612;male;3;22;28;600;600
613;male;3;26;32;660;650
614;male;0;17;28;600;600
615;male;3;19;33;730;710
616;female;4;28;35;720;690
617;female;5;36;27;570;500
618;female;4;30;32;560;700
619;male;1;18;35;740;740
620;male;4;35;29;610;430
621;female;0;15;26;500;684
622;female;3;19;31;710;610
623;female;5;35;34;650;750
624;female;5;30;26;570;430
625;female;3;20;35;720;780
626;male;3;17;35;730;770
627;female;3;22;28;600;600
628;female;3;21;27;550;550
629;male;3;19;31;670;760
630;male;5;58;34;675;680
631;male;3;23;22;460;400
632;female;4;26;35;650;800
633;male;3;22;22;670;720
634;male;3;22;22;700;700
635;female;4;26;35;650;800
636;male;3;19;34;720;800
637;female;5;25;32;650;750
638;male;5;24;31;770;670
639;female;3;19;25;550;530
640;female;5;24;32;600;750
641;female;3;20;31;740;620
642;female;5;37;29;500;500
643;male;5;43;32;400;500
644;female;5;42;27;760;530
645;female;3;18;34;690;740
646;female;4;52;22;300;300
647;female;3;19;36;800;670
648;female;1;18;36;650;700
649;male;4;23;34;710;690
650;male;3;19;33;740;800
651;male;3;20;34;700;750
652;female;5;24;21;540;500
653;female;5;25;28;620;580
654;female;3;19;29;650;700
655;female;3;23;25;640;600
656;female;5;36;31;710;540
657;female;3;21;29;560;690
658;male;3;34;31;640;600
659;male;1;21;22;480;520
660;female;5;28;23;750;500
661;male;5;23;33;700;720
662;male;0;18;30;500;600
663;female;4;46;30;650;700
664;female;4;28;36;590;620
665;male;4;25;32;690;790
666;female;3;19;33;740;700
667;female;5;30;28;450;550
668;female;4;23;31;600;600
669;female;4;29;32;650;410
670;male;3;19;34;760;710
671;male;5;54;33;400;600
672;female;3;20;36;760;760
673;male;3;23;30;490;490
674;female;3;28;30;600;600
675;female;4;29;27;610;500
676;female;3;19;33;640;680
677;female;4;28;32;650;600
678;male;5;26;33;750;690
679;male;5;34;25;600;610
680;female;2;25;26;700;700
681;female;3;25;27;640;660
682;female;3;20;26;710;680
683;male;3;25;30;500;500
684;male;4;40;27;613;630
685;female;3;24;31;700;630
686;male;4;35;32;700;780
687;male;5;25;25;600;600
