id;gender;education;age;agree;conscientious;extraversion;neuroticism;openness
57;female;coll;21;3,2;4,6;3,2;4,4;4,6
58;male;grad deg;24;3,8;4,4;3,6;4,0;4,4
59;female;fin HS;50;5,0;5,4;2,8;3,8;3,8
60;male;grad deg;29;4,2;4,8;5,0;1,8;4,6
61;male;in HS;32;4,2;2,8;3,2;4,2;3,0
62;male;in HS;18;4,2;4,2;2,8;4,6;4,4
63;female;coll grad;32;5,6;5,2;5,8;3,0;4,4
64;female;coll;26;4,0;5,2;5,8;3,0;5,2
65;female;grad deg;27;5,8;5,0;3,6;4,6;5,2
66;female;coll;19;4,8;5,0;2,6;1,4;4,8
67;male;coll grad;21;4,4;2,2;2,4;3,6;4,8
68;male;coll;21;2,4;2,6;3,4;2,2;6,0
69;female;grad deg;36;4,6;4,8;4,6;2,2;4,6
70;female;fin HS;48;5,4;5,2;2,8;2,4;4,8
71;female;coll;22;4,8;5,4;4,4;2,4;5,0
72;female;fin HS;23;4,4;4,4;5,0;1,8;4,8
73;male;coll;21;3,8;4,6;4,8;4,4;4,0
74;female;coll;20;5,0;5,2;3,2;3,0;5,0
75;female;coll;23;4,6;5,4;4,6;2,0;5,0
76;female;coll grad;43;5,2;4,8;5,4;2,4;4,2
79;female;coll;54;3,2;3,2;3,6;2,8;3,0
80;male;fin HS;20;5,0;2,8;3,8;3,2;4,2
81;male;coll grad;28;5,0;4,4;3,6;3,2;5,4
82;female;coll grad;38;3,8;4,8;2,8;5,0;6,0
84;male;coll;27;5,8;5,6;4,8;2,4;4,0
85;female;in HS;18;5,0;4,6;3,8;4,6;4,8
86;male;coll;29;4,4;3,6;3,4;2,8;3,2
87;female;coll grad;50;5,2;4,6;3,8;2,4;3,6
88;female;coll;50;5,4;3,6;4,8;2,0;5,0
89;female;coll;20;5,2;4,2;5,0;2,2;4,2
90;female;coll;19;4,4;3,8;3,4;3,4;4,2
91;female;coll grad;56;5,2;4,4;4,8;1,6;5,4
92;female;coll grad;29;4,8;4,2;3,6;3,4;5,6
93;female;grad deg;29;4,6;2,6;3,6;4,2;2,8
94;female;grad deg;48;5,4;5,8;5,4;3,6;5,6
95;female;in HS;30;5,0;5,0;3,8;4,0;3,0
96;female;fin HS;21;3,6;4,8;2,2;5,0;4,2
97;male;coll;19;2,2;1,4;1,0;4,0;5,2
98;male;grad deg;42;5,2;5,2;3,6;1,2;5,6
99;female;coll;18;3,8;4,2;3,0;5,4;4,4
100;female;coll grad;50;4,0;3,4;3,2;1,4;4,0
101;female;coll;24;4,6;3,4;4,0;4,4;5,6
102;male;grad deg;25;3,6;3,8;4,2;3,2;4,6
103;male;grad deg;47;4,4;4,8;3,6;4,6;5,6
104;female;in HS;18;4,6;1,8;2,4;2,0;3,6
105;female;coll grad;37;3,6;5,2;1,4;4,8;3,8
106;female;coll grad;33;5,8;3,0;4,0;4,0;4,6
107;female;grad deg;40;4,6;5,8;3,6;4,2;5,6
109;female;coll;21;5,4;3,4;4,8;4,6;5,0
110;female;coll;27;5,0;3,4;4,8;5,6;4,2
111;female;coll;19;6,0;4,0;4,4;2,8;5,4
112;female;coll grad;36;4,8;4,6;3,0;2,0;2,4
113;female;coll;19;5,4;4,8;4,2;1,4;4,8
114;female;grad deg;29;6,0;4,8;3,2;4,4;5,8
115;female;grad deg;23;5,2;4,8;5,8;2,0;5,4
116;male;grad deg;23;2,0;1,8;1,8;2,8;2,6
117;male;coll;20;4,4;4,8;4,8;2,0;5,4
118;male;coll grad;24;1,8;2,4;1,6;2,8;5,2
119;male;grad deg;24;4,2;4,6;5,0;3,2;5,4
120;male;grad deg;26;5,8;4,2;5,6;2,2;6,0
121;female;coll;25;5,0;4,4;5,6;3,0;5,0
122;male;coll grad;24;4,4;3,6;2,0;4,0;3,6
123;male;grad deg;24;3,6;5,6;5,4;3,4;5,6
124;male;grad deg;28;4,4;4,0;5,0;3,0;4,8
125;male;coll grad;22;4,8;3,2;3,4;2,2;5,4
126;male;grad deg;26;4,4;4,2;2,2;3,4;5,8
127;male;grad deg;25;5,4;4,6;4,8;2,8;4,4
128;male;coll grad;23;4,6;4,0;4,6;2,8;5,4
129;male;coll;22;4,0;2,4;2,6;3,2;5,0
130;female;coll;19;4,0;3,8;4,2;4,6;4,0
131;female;coll grad;25;4,2;3,4;4,4;4,2;4,6
132;male;coll;25;4,4;3,8;4,4;5,0;4,8
133;male;grad deg;27;3,0;5,0;2,8;3,4;4,6
134;female;coll;20;3,6;3,4;3,4;4,6;3,4
135;female;coll;25;6,0;3,6;4,0;5,4;4,6
136;female;coll;49;5,8;3,0;4,0;3,8;5,0
137;female;coll;26;5,6;3,4;6,0;2,8;4,6
138;female;coll;25;5,6;5,6;5,0;3,0;5,4
139;female;coll;25;5,6;4,6;5,2;4,4;4,8
141;male;coll;21;2,6;3,0;1,4;4,4;3,4
142;female;coll;22;4,8;4,4;5,2;5,2;3,2
143;female;coll;37;3,8;5,0;5,0;4,2;4,4
144;female;coll;20;5,8;3,6;4,4;1,8;4,0
145;female;in HS;22;4,2;3,2;4,4;2,4;5,2
146;female;grad deg;41;4,0;4,4;2,8;2,0;5,6
147;female;grad deg;22;5,4;5,2;5,0;4,6;5,4
148;male;grad deg;24;4,8;3,8;4,0;3,2;4,4
149;female;coll grad;23;4,2;3,8;5,2;1,0;4,8
150;male;coll grad;32;5,4;5,0;3,8;3,4;5,2
151;male;grad deg;43;4,4;2,4;3,6;4,0;5,2
152;female;coll grad;30;5,8;5,2;5,2;1,8;6,0
153;female;fin HS;50;5,2;3,0;4,2;2,2;4,6
154;male;in HS;18;3,0;5,0;5,6;2,4;5,0
155;female;coll;16;4,8;5,4;3,8;2,0;4,6
156;female;grad deg;34;5,0;4,2;5,0;3,6;5,0
157;female;fin HS;18;5,8;3,6;5,4;2,2;4,6
158;female;grad deg;24;4,8;2,6;3,4;4,0;4,8
159;male;fin HS;18;3,4;3,4;3,4;2,4;5,8
160;female;coll;22;4,6;5,4;3,8;4,2;3,6
161;female;fin HS;36;5,4;5,2;4,0;2,6;4,4
162;female;coll;19;5,0;3,4;4,6;3,2;4,8
163;male;coll;20;4,8;2,4;4,4;3,0;4,0
164;male;coll;24;4,0;4,0;3,0;1,8;2,2
165;female;coll;20;6,0;5,0;5,0;3,0;4,0
166;male;grad deg;34;4,8;2,0;4,6;1,4;4,6
167;male;coll;21;5,0;5,0;5,8;1,4;5,2
168;male;coll;19;4,8;2,8;4,2;3,0;4,8
169;female;fin HS;18;5,2;5,0;4,8;4,0;5,6
171;female;grad deg;27;3,8;3,2;3,8;3,4;3,6
172;male;grad deg;33;4,4;5,0;5,0;3,8;4,2
173;male;coll;20;5,2;3,4;5,0;3,2;4,4
174;female;coll;19;5,0;4,2;4,2;2,4;4,6
176;female;coll;18;3,4;3,8;3,0;5,0;3,6
177;female;coll grad;35;5,8;3,8;3,8;2,0;5,8
178;female;coll;23;4,6;5,6;3,0;4,2;5,0
179;female;grad deg;27;3,4;3,6;3,8;3,6;3,8
180;male;coll;18;3,0;3,2;4,8;1,6;5,4
181;male;fin HS;31;3,2;3,2;3,0;4,6;6,0
183;male;in HS;53;4,2;3,2;2,8;2,4;3,6
184;male;grad deg;29;2,6;3,0;2,8;4,4;5,2
185;male;fin HS;19;3,6;4,6;3,2;4,2;6,0
186;female;in HS;29;5,2;3,2;4,4;5,2;1,4
187;male;grad deg;41;5,0;3,6;4,6;1,4;5,4
188;female;grad deg;31;3,4;6,0;5,4;1,4;5,8
189;female;coll;45;4,6;5,2;3,0;4,8;4,0
190;female;fin HS;47;5,0;5,2;5,6;4,4;5,6
191;male;coll grad;27;4,0;2,8;3,6;2,4;5,0
192;female;fin HS;24;5,0;4,0;4,4;4,4;5,6
193;male;coll grad;20;4,0;4,0;3,4;3,0;4,2
194;male;fin HS;23;3,6;3,4;4,6;2,4;3,6
195;male;grad deg;28;4,6;4,6;3,4;3,8;4,4
197;male;in HS;18;4,8;3,6;5,6;2,8;4,2
200;female;in HS;18;5,2;4,2;4,6;2,2;5,4
203;female;in HS;18;4,4;3,8;4,2;3,6;3,2
207;female;in HS;18;5,0;3,2;3,2;3,4;3,8
208;female;grad deg;50;5,4;5,2;3,0;1,0;5,6
209;female;coll grad;25;5,4;3,0;5,4;3,2;4,2
210;male;grad deg;48;3,0;2,6;3,8;2,0;4,6
211;female;coll grad;27;5,0;4,6;5,0;1,8;5,6
212;female;coll;22;5,8;3,2;4,6;4,2;4,6
213;male;coll;20;3,8;4,0;3,6;1,8;4,2
215;female;grad deg;59;5,6;5,0;4,6;1,6;6,0
216;female;in HS;17;3,6;4,6;3,2;3,0;5,4
217;female;coll;32;6,0;5,2;5,8;2,8;4,6
218;male;coll;22;4,0;4,0;5,2;3,8;3,8
219;male;coll;21;4,0;5,0;4,8;2,6;4,6
220;male;grad deg;29;2,2;3,0;2,8;3,0;5,4
221;male;in HS;18;4,8;4,4;4,4;3,6;3,6
222;female;coll;40;5,4;5,0;2,8;2,0;4,0
223;female;grad deg;48;5,6;4,6;5,4;1,2;4,4
224;female;coll grad;39;5,4;3,6;4,6;2,4;5,0
225;female;coll grad;50;5,6;4,4;5,2;3,0;5,6
226;female;grad deg;26;5,6;4,2;4,0;4,0;4,8
227;female;fin HS;21;4,2;3,8;3,4;3,2;4,0
228;male;coll grad;55;3,8;5,0;3,4;2,8;5,4
229;female;grad deg;37;5,4;4,0;4,8;1,8;4,6
230;female;grad deg;38;5,4;5,0;4,8;2,0;5,6
231;male;coll;19;4,2;4,2;4,4;2,0;4,0
233;female;coll;20;3,8;5,4;4,8;2,4;5,0
234;female;grad deg;34;4,0;4,6;2,6;2,6;5,0
235;female;coll;38;5,4;5,6;5,4;2,0;5,2
236;female;coll;18;4,4;3,0;4,4;4,4;3,0
237;female;grad deg;32;5,2;4,0;4,0;3,0;4,8
238;male;coll;19;5,8;2,8;4,4;3,0;4,4
239;male;coll;19;4,2;4,6;2,8;1,8;4,8
240;male;coll;21;5,2;5,4;5,0;3,0;4,4
241;female;coll;22;5,4;5,6;5,4;3,0;5,6
242;male;coll;19;4,4;4,2;2,6;1,0;5,2
243;female;grad deg;41;4,6;4,4;4,8;1,8;4,4
244;male;coll;40;5,6;5,0;4,6;1,4;4,6
245;female;grad deg;44;3,4;5,0;4,4;3,2;5,6
246;male;coll;25;4,8;3,2;4,0;3,0;3,8
248;male;coll;24;3,6;4,2;4,0;2,2;2,8
249;female;coll;23;2,8;4,2;4,4;2,0;4,2
250;female;in HS;22;4,6;3,2;5,0;2,4;4,6
251;female;coll;19;5,2;4,4;4,0;1,8;4,2
252;female;coll;23;4,6;5,2;3,2;3,2;4,6
253;female;coll;38;2,6;5,6;5,8;1,0;4,8
254;male;fin HS;26;5,2;6,0;5,0;1,4;4,0
255;female;coll;46;4,8;4,8;5,0;2,0;3,8
256;female;fin HS;24;4,0;4,4;3,6;2,6;4,0
257;female;in HS;18;4,8;5,2;5,2;2,2;4,2
258;male;fin HS;48;5,6;3,4;3,4;3,2;5,0
259;female;coll;30;5,8;4,4;4,8;3,8;4,6
260;male;fin HS;22;4,4;3,4;4,0;2,8;3,8
261;male;coll;20;3,6;3,0;3,6;4,4;4,4
262;male;grad deg;36;3,4;5,2;3,8;3,8;6,0
263;male;in HS;18;5,0;4,6;6,0;3,6;3,8
264;male;coll;27;5,4;5,6;4,8;2,8;5,6
265;female;fin HS;30;4,0;4,0;5,8;1,2;3,2
266;male;coll;18;4,6;5,4;4,6;1,6;3,4
267;male;coll;20;4,8;4,2;3,6;4,0;3,6
268;female;coll;55;5,2;5,2;4,6;1,8;4,2
269;female;coll;17;5,6;4,6;4,0;3,4;4,6
270;male;coll grad;28;3,8;3,6;3,8;3,4;4,2
271;female;coll;19;4,6;3,4;4,8;5,2;3,8
272;female;coll;19;4,8;4,4;5,6;2,8;5,0
274;male;in HS;31;5,8;5,0;5,2;3,6;4,6
275;female;coll;50;4,4;4,2;5,8;4,6;5,0
276;female;coll;31;5,4;5,0;4,8;3,0;4,0
277;female;grad deg;27;5,6;5,4;5,4;1,8;5,2
278;male;coll;16;4,2;4,0;2,6;4,2;3,8
279;male;coll;18;5,2;4,0;5,2;4,4;5,8
280;female;coll;20;5,0;3,4;3,8;4,6;3,6
281;male;coll;21;4,2;3,2;3,0;3,8;4,4
282;female;grad deg;32;5,8;5,2;5,4;2,8;5,0
283;female;coll;30;3,2;2,6;3,0;2,6;3,0
284;female;coll;24;4,8;4,0;4,2;4,2;4,0
285;female;in HS;35;4,8;3,6;3,6;5,4;3,6
286;female;coll;19;5,4;5,0;5,2;3,6;4,4
287;female;coll;23;5,0;4,8;3,2;5,6;5,2
289;male;coll grad;21;6,0;4,2;6,0;2,2;6,0
290;female;coll;22;5,8;5,0;4,2;4,0;3,4
291;female;coll;20;5,4;3,0;3,6;3,4;3,0
292;male;coll grad;26;5,0;5,2;4,8;1,0;4,6
293;male;coll;19;4,6;3,8;3,4;3,4;2,8
294;female;grad deg;25;5,0;3,8;5,6;4,0;4,8
295;female;grad deg;28;5,4;3,2;5,6;5,4;5,6
299;male;in HS;29;5,0;5,0;2,8;2,2;3,2
300;female;fin HS;19;3,8;3,8;3,4;3,4;4,0
301;female;coll grad;47;5,4;4,2;4,6;3,8;6,0
302;female;coll grad;52;5,0;4,4;3,4;1,4;5,0
303;female;coll grad;22;5,4;3,4;2,4;2,4;3,4
304;male;coll;18;4,8;3,8;4,8;3,4;4,2
305;female;coll;30;4,2;5,2;4,8;3,8;5,2
307;male;coll;31;2,4;4,2;2,8;4,0;5,2
308;male;fin HS;56;5,6;5,6;3,8;4,0;3,8
309;female;coll grad;28;4,0;5,6;5,2;2,4;4,2
310;female;coll grad;33;5,6;4,6;5,8;3,4;4,8
311;female;coll;30;5,4;4,2;4,0;2,2;4,2
312;female;coll;23;5,2;5,4;3,8;3,6;4,2
313;female;coll;20;5,2;4,6;4,6;1,2;4,8
314;female;fin HS;27;6,0;5,2;5,8;2,2;4,2
315;male;fin HS;25;4,2;4,0;5,4;4,8;5,4
316;female;fin HS;27;4,2;5,2;3,8;5,2;5,2
318;female;coll;18;3,4;4,4;3,2;5,8;5,0
319;male;in HS;18;3,4;3,6;4,6;2,4;5,2
320;male;coll;21;5,8;5,0;4,8;2,0;4,2
321;male;fin HS;19;3,4;5,8;3,8;4,2;6,0
322;female;fin HS;18;5,8;4,6;5,6;1,8;4,6
323;male;coll grad;29;2,6;4,6;2,8;5,2;5,6
324;male;coll grad;33;3,8;3,8;3,4;4,0;3,4
325;male;coll;31;4,0;3,4;2,8;3,8;4,2
326;female;grad deg;33;5,6;4,6;5,0;2,6;5,8
327;female;grad deg;28;4,4;5,4;2,8;2,8;4,4
328;female;coll;21;4,6;3,6;2,0;3,8;4,4
329;female;coll grad;45;5,2;3,2;6,0;5,8;5,2
330;female;grad deg;44;4,0;4,0;3,4;3,0;5,6
331;female;coll;18;5,6;3,6;3,6;4,6;6,0
332;female;grad deg;27;5,4;5,2;4,8;2,2;5,0
333;female;coll grad;45;3,0;4,4;3,6;5,4;4,6
334;female;fin HS;18;5,6;5,4;5,0;2,6;5,8
335;female;coll;24;5,6;4,6;2,2;5,0;3,8
336;female;fin HS;48;3,8;3,2;3,4;5,6;4,6
337;female;coll;29;4,8;4,8;5,6;5,0;4,4
338;female;in HS;51;6,0;6,0;5,2;2,0;5,4
339;female;fin HS;50;5,0;3,6;2,8;4,2;3,6
340;female;fin HS;36;4,0;4,2;3,0;4,0;4,2
342;female;coll grad;52;5,2;2,4;5,0;4,0;6,0
343;female;grad deg;38;4,4;3,2;2,8;3,8;3,0
344;female;coll;17;5,6;4,6;5,8;2,4;4,6
345;female;grad deg;53;4,8;3,8;5,6;2,6;5,4
346;female;grad deg;35;5,2;4,4;4,8;4,2;5,2
347;female;coll;21;5,0;2,8;2,8;4,2;4,6
348;male;coll;29;4,6;4,4;3,8;5,4;3,0
349;female;grad deg;36;5,2;5,4;5,2;3,4;5,2
350;female;coll;19;4,2;4,4;4,0;4,0;4,0
351;female;coll;23;4,6;5,0;4,0;4,2;5,0
352;female;fin HS;39;5,2;5,4;4,6;3,8;4,2
353;female;coll;19;3,6;3,2;4,4;3,2;5,6
355;female;coll;18;4,6;3,6;5,4;2,4;4,6
356;female;coll;25;5,4;4,6;3,8;4,0;4,0
358;male;coll;20;5,0;3,8;2,2;3,6;5,2
360;female;coll;20;4,8;5,2;5,2;2,8;4,4
361;male;in HS;25;5,2;5,2;4,6;4,8;4,4
362;female;grad deg;64;4,8;2,0;5,6;4,6;6,0
363;female;fin HS;18;5,0;4,6;4,8;2,2;5,8
364;female;coll;20;5,4;3,2;4,2;3,4;5,0
365;female;in HS;19;4,2;2,8;3,4;4,0;4,4
366;female;grad deg;32;5,2;5,6;4,2;2,8;5,8
367;male;fin HS;49;4,2;3,4;4,0;3,0;4,4
368;male;fin HS;45;5,2;4,0;6,0;3,8;5,6
369;male;in HS;18;4,2;2,4;1,6;4,2;4,4
370;female;grad deg;28;5,0;3,0;5,6;6,0;4,8
371;female;grad deg;22;4,0;4,4;2,6;3,2;4,6
372;female;coll grad;25;4,0;4,4;3,6;3,4;5,4
373;female;grad deg;34;6,0;5,4;6,0;1,0;6,0
374;female;grad deg;42;4,6;4,8;3,4;3,6;5,4
375;female;coll;37;4,6;4,2;4,6;2,8;4,6
376;female;coll;42;5,8;6,0;5,4;1,0;6,0
377;female;grad deg;23;5,2;5,2;4,0;2,4;5,4
378;female;coll grad;29;3,6;4,0;5,2;3,6;4,0
379;male;fin HS;18;3,0;4,6;1,6;1,6;4,4
380;female;coll;22;5,4;5,0;5,2;1,0;3,6
381;female;coll;30;5,2;5,2;5,6;4,0;5,8
382;female;coll;38;4,0;4,6;4,2;4,0;4,6
383;female;fin HS;53;5,0;5,0;4,8;3,6;4,8
384;male;coll;28;4,8;4,0;3,0;2,4;3,4
385;male;coll;18;5,0;4,2;4,4;3,0;4,6
386;female;coll grad;31;5,8;5,6;4,8;2,6;5,0
387;female;in HS;32;5,0;5,0;3,8;1,4;4,2
388;female;grad deg;40;4,2;4,2;4,4;4,0;4,6
390;female;fin HS;23;4,0;5,0;4,4;2,2;3,2
391;female;coll grad;34;4,6;3,0;4,0;3,8;5,4
392;male;grad deg;29;5,8;4,6;4,8;4,2;5,6
393;female;coll;51;5,0;4,6;3,2;2,4;3,8
394;female;coll;22;6,0;4,2;5,4;2,8;5,8
395;female;coll;38;5,0;4,4;4,4;2,0;4,8
396;female;grad deg;26;4,2;3,2;5,8;2,6;4,8
397;female;fin HS;36;3,8;4,0;4,2;2,4;3,8
398;female;coll;19;4,4;5,2;4,0;2,6;3,6
399;female;coll;33;5,0;4,2;4,4;4,6;3,6
400;female;in HS;40;5,4;3,8;5,0;4,4;4,6
401;female;grad deg;26;4,2;3,2;3,6;2,2;4,0
403;female;coll;30;4,4;5,6;5,0;2,6;5,4
404;female;in HS;59;5,4;3,8;4,2;1,8;4,4
405;female;coll;32;4,4;5,2;4,4;4,2;5,8
406;male;fin HS;30;3,2;3,0;3,0;4,4;5,6
407;female;coll grad;32;5,4;5,6;5,2;2,4;5,4
408;female;grad deg;29;5,2;4,4;4,8;4,8;5,4
409;male;coll;27;4,2;5,4;3,8;3,0;3,4
410;female;coll;48;3,6;4,8;1,8;2,6;2,6
411;female;coll grad;39;5,6;4,0;4,6;1,0;5,2
412;female;coll;22;5,2;3,8;4,0;4,6;2,6
413;female;coll;26;4,6;2,8;3,6;5,6;5,6
414;female;coll;26;3,0;5,6;2,0;3,6;5,8
415;female;fin HS;39;4,6;3,8;4,6;3,2;5,6
416;female;coll;32;5,2;3,2;4,6;3,8;4,0
417;female;coll;52;5,8;4,2;2,4;3,8;3,6
418;female;coll;40;5,0;4,6;4,2;4,6;4,2
419;female;fin HS;40;5,4;5,2;5,6;2,6;4,4
420;female;coll;40;6,0;4,8;3,6;1,6;5,8
421;female;coll;40;5,6;4,4;4,4;5,8;5,0
422;female;fin HS;24;5,2;5,6;5,6;3,0;4,0
423;female;coll;23;5,8;5,4;3,2;4,4;4,6
424;female;coll;26;4,6;5,4;4,4;3,2;4,6
425;female;coll;26;4,6;5,6;4,4;2,8;4,6
426;female;fin HS;51;5,8;5,8;5,8;1,4;5,8
427;female;in HS;39;5,8;5,0;5,4;2,4;5,0
428;female;coll;20;6,0;4,8;5,8;1,6;5,2
429;female;in HS;19;5,4;4,0;5,2;5,0;4,6
430;male;grad deg;28;3,6;2,6;3,0;3,8;4,8
431;male;in HS;35;4,4;5,2;4,2;3,4;5,4
432;male;in HS;35;4,4;5,2;4,2;2,8;5,4
433;male;in HS;35;4,4;5,2;4,2;2,8;5,4
434;male;in HS;35;4,4;5,2;4,2;3,2;5,4
435;male;in HS;35;5,0;4,6;4,0;3,2;5,4
436;male;in HS;35;5,0;4,6;4,4;3,2;5,4
437;male;in HS;35;5,0;4,6;4,4;3,2;5,0
438;female;coll grad;32;4,6;2,2;4,4;1,8;3,2
439;female;coll;24;4,6;6,0;4,6;4,6;6,0
440;female;in HS;23;5,6;4,6;4,8;1,8;6,0
441;male;coll;39;4,2;5,4;4,0;5,4;4,4
442;male;coll grad;48;5,2;4,8;2,6;2,2;5,6
443;female;in HS;26;4,6;3,2;3,2;5,8;3,6
444;male;coll;28;4,2;4,0;3,8;3,6;4,0
445;female;in HS;23;5,8;4,4;4,8;2,0;5,2
446;male;coll;24;5,2;4,6;3,6;1,8;3,6
447;female;coll;29;5,4;4,0;4,6;2,0;4,6
449;male;coll;29;1,6;6,0;1,2;1,0;4,6
450;female;coll;26;5,8;6,0;5,2;2,4;5,8
452;female;coll;37;4,4;4,4;5,0;2,6;5,0
453;male;coll;30;5,4;5,2;5,6;2,8;5,6
454;female;coll;36;4,8;4,4;5,0;3,2;5,0
455;female;coll;33;5,6;5,4;5,6;3,8;4,2
456;male;coll;23;5,0;4,8;4,0;1,6;4,0
457;female;fin HS;22;6,0;5,0;6,0;2,4;6,0
458;female;coll;17;5,0;4,8;5,0;3,8;6,0
459;male;fin HS;28;2,6;2,6;1,4;2,6;5,8
460;female;coll;36;3,4;5,0;4,4;4,6;4,6
461;female;coll;29;4,8;3,6;4,2;2,0;4,0
462;female;grad deg;59;5,0;2,0;3,0;5,0;4,2
463;female;coll;19;5,6;5,2;4,8;1,6;5,4
464;male;coll;27;5,4;4,2;5,2;5,0;5,8
465;female;coll grad;41;4,4;4,4;4,0;3,0;4,6
466;female;coll grad;27;5,4;4,4;4,8;1,2;4,8
467;female;fin HS;24;5,2;5,2;6,0;2,4;4,2
468;female;grad deg;60;4,8;3,8;5,2;4,6;5,6
469;female;coll;52;5,6;4,4;1,8;4,2;3,6
470;female;coll;21;5,8;5,6;5,6;3,2;5,4
471;female;coll;20;5,0;4,4;4,0;4,2;5,0
472;female;coll;25;5,8;5,0;4,8;1,0;4,4
473;female;coll;24;5,8;5,6;4,0;3,8;3,8
474;female;fin HS;25;3,2;3,6;3,6;3,6;3,4
475;female;fin HS;30;3,8;3,6;3,4;2,8;3,8
476;female;coll;19;2,0;2,8;2,6;3,8;3,6
477;male;coll;17;4,6;3,0;4,8;2,0;4,6
478;female;coll;52;5,8;6,0;3,6;2,6;5,2
479;female;coll;27;5,0;3,2;5,2;4,6;3,0
480;female;coll;55;6,0;5,2;6,0;4,2;5,2
481;female;grad deg;39;5,2;4,4;5,6;4,4;5,8
482;female;coll;39;6,0;5,4;5,4;2,8;5,6
483;female;coll;39;4,0;4,6;2,0;2,6;2,6
484;male;coll;18;4,2;3,6;4,0;3,8;4,6
485;female;coll;51;5,0;5,0;5,6;1,4;5,4
486;female;coll;25;5,8;4,8;3,0;2,4;4,2
487;female;in HS;15;5,2;4,8;4,6;1,8;4,6
488;female;fin HS;42;4,8;3,8;4,0;4,2;3,6
489;female;coll grad;24;5,2;5,4;4,8;4,8;5,6
490;female;coll;46;5,4;5,0;3,2;2,4;4,8
491;female;coll;37;5,4;4,0;5,0;3,2;4,8
492;female;coll;24;4,8;5,0;3,6;2,8;2,6
493;male;coll;20;4,8;3,6;3,8;3,4;4,6
494;female;coll grad;50;4,6;5,8;5,6;3,0;5,4
495;female;coll;46;4,8;4,4;3,2;3,0;3,8
496;male;fin HS;23;4,2;4,8;5,2;4,4;4,6
497;female;coll;18;4,6;5,6;4,8;2,4;5,2
498;male;fin HS;21;4,4;5,0;4,6;2,6;4,6
499;female;coll;26;4,2;3,4;5,2;5,6;4,4
500;female;coll;53;5,6;5,4;4,4;4,4;4,8
501;female;fin HS;26;5,6;4,8;5,2;1,2;4,2
502;male;coll;30;6,0;5,6;5,0;1,4;4,6
503;male;fin HS;51;4,4;3,8;5,2;3,8;4,4
504;female;coll;34;5,0;4,6;4,2;3,6;4,6
505;female;coll;28;4,2;5,0;4,6;3,2;4,6
506;female;fin HS;42;5,0;5,0;4,8;3,6;4,2
507;male;coll;21;5,6;5,4;4,4;3,4;4,4
508;female;coll;20;6,0;3,6;5,2;5,2;3,4
509;male;in HS;26;5,2;4,8;4,4;3,6;5,6
510;female;coll;18;5,6;4,8;4,4;3,0;3,6
511;female;coll;39;5,0;4,4;4,6;3,2;4,2
512;female;coll;45;4,0;5,8;5,4;1,0;4,2
513;female;coll;20;4,8;5,2;5,8;4,4;5,2
514;male;coll;43;4,4;4,8;4,8;1,6;5,2
515;female;coll;23;4,6;4,8;2,6;2,8;4,0
516;female;coll;25;5,0;4,4;4,6;3,6;4,6
517;female;coll;51;5,4;5,6;4,2;4,4;4,2
518;female;coll;26;5,0;4,8;3,8;4,6;5,2
519;male;coll;28;6,0;5,8;5,8;1,2;5,8
520;female;coll;23;5,0;5,8;5,4;3,0;4,2
